DATE,GDP
2003-01,11174.129
2003-02,11220.339
2003-03,11266.549
2003-04,11312.766
2003-05,11397.396
2003-06,11482.026
2003-07,11566.669
2003-08,11635.189
2003-09,11703.709
2003-10,11772.234
2003-11,11822.634
2003-12,11873.034
2004-01,11923.447
2004-02,11986.567
2004-03,12049.687
2004-04,12112.815
2004-05,12176.975
2004-06,12241.135
2004-07,12305.307
2004-08,12379.277
2004-09,12453.247
2004-10,12527.214
2004-11,12607.234
2004-12,12687.254
2005-01,12767.286
2005-02,12819.076
2005-03,12870.866
2005-04,12922.656
2005-05,12995.986
2005-06,13069.316
2005-07,13142.642
2005-08,13203.162
2005-09,13263.682
2005-10,13324.204
2005-11,13415.854
2005-12,13507.504
2006-01,13599.16
2006-02,13650.58
2006-03,13702
2006-04,13753.424
2006-05,13792.344
2006-06,13831.264
2006-07,13870.188
2006-08,13926.648
2006-09,13983.108
2006-10,14039.56
2006-11,14098.26
2006-12,14156.96
2007-01,14215.651
2007-02,14277.791
2007-03,14339.931
2007-04,14402.082
2007-05,14456.092
2007-06,14510.102
2007-07,14564.117
2007-08,14614.427
2007-09,14664.737
2007-10,14715.058
2007-11,14712.218
2007-12,14709.378
2008-01,14706.538
2008-02,14759.588
2008-03,14812.638
2008-04,14865.701
2008-05,14876.801
2008-06,14887.901
2008-07,14898.999
2008-08,14802.069
2008-09,14705.139
2008-10,14608.209
2008-11,14549.109
2008-12,14490.009
2009-01,14430.902
2009-02,14414.342
2009-03,14397.782
2009-04,14381.236
2009-05,14403.786
2009-06,14426.336
2009-07,14448.882
2009-08,14516.342
2009-09,14583.802
2009-10,14651.249
2009-11,14689.039
2009-12,14726.829
2010-01,14764.61
2010-02,14836.47
2010-03,14908.33
2010-04,14980.193
2010-05,15033.993
2010-06,15087.793
2010-07,15141.607
2010-08,15197.567
2010-09,15253.527
2010-10,15309.474
2010-11,15323.464
2010-12,15337.454
2011-01,15351.448
2011-02,15420.148
2011-03,15488.848
2011-04,15557.539
2011-05,15587.589
2011-06,15617.639
2011-07,15647.68
2011-08,15712.54
2011-09,15777.4
2011-10,15842.259
2011-11,15917.779
2011-12,15993.299
2012-01,16068.805
2012-02,16114.905
2012-03,16161.005
2012-04,16207.115
2012-05,16244.595
2012-06,16282.075
2012-07,16319.541
2012-08,16353.171
2012-09,16386.801
2012-10,16420.419
2012-11,16496.339
2012-12,16572.259
2013-01,16648.189
2013-02,16675.019
2013-03,16701.849
2013-04,16728.687
2013-05,16803.737
2013-06,16878.787
2013-07,16953.838
2013-08,17033.228
2013-09,17112.618
2013-10,17192.019
2013-11,17193.929
2013-12,17195.839
2014-01,17197.738
2014-02,17304.658
2014-03,17411.578
2014-04,17518.508
2014-05,17613.748
2014-06,17708.988
2014-07,17804.228
2014-08,17840.178
2014-09,17876.128
2014-10,17912.079
2014-11,17962.559
2014-12,18013.039
2015-01,18063.529
2015-02,18135.619
2015-03,18207.709
2015-04,18279.784
2015-05,18320.394
2015-06,18361.004
2015-07,18401.626
2015-08,18412.796
2015-09,18423.966
2015-10,18435.137
2015-11,18465.407
2015-12,18495.677
2016-01,18525.933
2016-02,18587.853
2016-03,18649.773
2016-04,18711.702
2016-05,18772.012
2016-06,18832.322
2016-07,18892.639
2016-08,18958.219
2016-09,19023.799
2016-10,19089.379
2016-11,19152.949
2016-12,19216.519
2017-01,19280.084
2017-02,19332.934
2017-03,19385.784
2017-04,19438.643
2017-05,19523.293
2017-06,19607.943
2017-07,19692.595
2017-08,19807.425
2017-09,19922.255
2017-10,20037.088
2017-11,20134.248
2017-12,20231.408
2018-01,20328.553
2018-02,20412.673
2018-03,20496.793
2018-04,20580.912
2018-05,20653.522
2018-06,20726.132
2018-07,20798.73
2018-08,20838.44
2018-09,20878.15
2018-10,20917.867
2018-11,20979.957
2018-12,21042.047
2019-01,21104.133
2019-02,21197.683
2019-03,21291.233
2019-04,21384.775
2019-05,21487.945
2019-06,21591.115
2019-07,21694.282
2019-08,21763.652
2019-09,21833.022
2019-10,21902.39
2019-11,21837.1
2019-12,21771.81
2020-01,21706.513
2020-02,21108.723
2020-03,20510.933
2020-04,19913.143
2020-05,20491.313
2020-06,21069.483
2020-07,21647.64
2020-08,21773.26
2020-09,21898.88
2020-10,22024.502
2020-11,22216.392
2020-12,22408.282
2021-01,22600.185
2021-02,22830.915
2021-03,23061.645
2021-04,23292.362
2021-05,23471.232
2021-06,23650.102
2021-07,23828.973
2021-08,24104.183
2021-09,24379.393
2021-10,24654.603
2021-11,24779.443
2021-12,24904.283
