DATE,Price house under Construction
2003-01,1049
2003-02,1044
2003-03,1044
2003-04,1043
2003-05,1047
2003-06,1064
2003-07,1078
2003-08,1102
2003-09,1121
2003-10,1135
2003-11,1158
2003-12,1183
2004-01,1191
2004-02,1197
2004-03,1219
2004-04,1222
2004-05,1233
2004-06,1229
2004-07,1247
2004-08,1238
2004-09,1247
2004-10,1264
2004-11,1268
2004-12,1280
2005-01,1302
2005-02,1322
2005-03,1311
2005-04,1324
2005-05,1322
2005-06,1329
2005-07,1338
2005-08,1356
2005-09,1377
2005-10,1376
2005-11,1395
2005-12,1405
2006-01,1424
2006-02,1423
2006-03,1423
2006-04,1401
2006-05,1409
2006-06,1383
2006-07,1363
2006-08,1339
2006-09,1317
2006-10,1283
2006-11,1265
2006-12,1247
2007-01,1217
2007-02,1206
2007-03,1192
2007-04,1181
2007-05,1164
2007-06,1161
2007-07,1144
2007-08,1123
2007-09,1108
2007-10,1096
2007-11,1080
2007-12,1059
2008-01,1041
2008-02,1025
2008-03,1014
2008-04,1009
2008-05,991
2008-06,975
2008-07,955
2008-08,936
2008-09,904
2008-10,876
2008-11,842
2008-12,806
2009-01,783
2009-02,756
2009-03,717
2009-04,677
2009-05,650
2009-06,627
2009-07,611
2009-08,588
2009-09,576
2009-10,554
2009-11,532
2009-12,517
2010-01,501
2010-02,493
2010-03,492
2010-04,488
2010-05,476
2010-06,447
2010-07,443
2010-08,444
2010-09,439
2010-10,436
2010-11,431
2010-12,427
2011-01,431
2011-02,424
2011-03,420
2011-04,417
2011-05,415
2011-06,416
2011-07,417
2011-08,414
2011-09,417
2011-10,422
2011-11,433
2011-12,434
2012-01,441
2012-02,450
2012-03,458
2012-04,463
2012-05,474
2012-06,486
2012-07,490
2012-08,495
2012-09,511
2012-10,520
2012-11,534
2012-12,551
2013-01,559
2013-02,581
2013-03,596
2013-04,606
2013-05,620
2013-06,629
2013-07,640
2013-08,654
2013-09,661
2013-10,670
2013-11,687
2013-12,707
2014-01,713
2014-02,714
2014-03,726
2014-04,743
2014-05,754
2014-06,771
2014-07,790
2014-08,793
2014-09,797
2014-10,806
2014-11,814
2014-12,826
2015-01,830
2015-02,830
2015-03,843
2015-04,868
2015-05,878
2015-06,896
2015-07,908
2015-08,921
2015-09,939
2015-10,943
2015-11,962
2015-12,970
2016-01,968
2016-02,982
2016-03,987
2016-04,998
2016-05,1010
2016-06,1016
2016-07,1033
2016-08,1038
2016-09,1038
2016-10,1053
2016-11,1042
2016-12,1057
2017-01,1063
2017-02,1070
2017-03,1071
2017-04,1075
2017-05,1071
2017-06,1073
2017-07,1075
2017-08,1083
2017-09,1093
2017-10,1101
2017-11,1107
2017-12,1100
2018-01,1105
2018-02,1109
2018-03,1121
2018-04,1124
2018-05,1131
2018-06,1126
2018-07,1127
2018-08,1129
2018-09,1135
2018-10,1141
2018-11,1144
2018-12,1148
2019-01,1152
2019-02,1140
2019-03,1125
2019-04,1123
2019-05,1132
2019-06,1142
2019-07,1146
2019-08,1149
2019-09,1161
2019-10,1160
2019-11,1165
2019-12,1177
2020-01,1195
2020-02,1213
2020-03,1215
2020-04,1193
2020-05,1180
2020-06,1183
2020-07,1201
2020-08,1213
2020-09,1218
2020-10,1228
2020-11,1248
2020-12,1262
2021-01,1282
2021-02,1286
2021-03,1308
2021-04,1320
2021-05,1338
2021-06,1372
2021-07,1387
2021-08,1412
2021-09,1437
2021-10,1464
2021-11,1493
2021-12,1526
