DATE,target
2003-01,128.461
2003-02,129.355
2003-03,130.148
2003-04,130.884
2003-05,131.735
2003-06,132.649
2003-07,133.777
2003-08,134.969
2003-09,136.294
2003-10,137.531
2003-11,138.794
2003-12,140.179
2004-01,141.646
2004-02,143.192
2004-03,145.059
2004-04,146.593
2004-05,148.186
2004-06,149.85
2004-07,151.338
2004-08,152.633
2004-09,154.179
2004-10,155.75
2004-11,157.527
2004-12,159.33
2005-01,161.288
2005-02,163.344
2005-03,165.812
2005-04,167.501
2005-05,169.351
2005-06,171.19
2005-07,172.86
2005-08,174.442
2005-09,176.438
2005-10,178.028
2005-11,179.68
2005-12,180.91
2006-01,182.321
2006-02,183.287
2006-03,184.364
2006-04,184.329
2006-05,184.156
2006-06,183.507
2006-07,183.068
2006-08,182.594
2006-09,182.798
2006-10,183.198
2006-11,183.609
2006-12,184.139
2007-01,184.517
2007-02,184.598
2007-03,184.15
2007-04,183.01
2007-05,181.6
2007-06,180.254
2007-07,179.111
2007-08,178.116
2007-09,177.558
2007-10,176.624
2007-11,175.147
2007-12,174.342
2008-01,173.132
2008-02,171.541
2008-03,170.053
2008-04,168.338
2008-05,166.659
2008-06,165.017
2008-07,163.566
2008-08,161.987
2008-09,160.308
2008-10,158.327
2008-11,156.142
2008-12,153.619
2009-01,151.507
2009-02,150.015
2009-03,148.66
2009-04,147.949
2009-05,147.694
2009-06,148.09
2009-07,148.41
2009-08,148.278
2009-09,148.025
2009-10,147.85
2009-11,148.134
2009-12,147.929
2010-01,147.396
2010-02,145.631
2010-03,145.859
2010-04,146.403
2010-05,146.394
2010-06,145.721
2010-07,144.991
2010-08,143.916
2010-09,143.019
2010-10,142.531
2010-11,142.173
2010-12,142.06
2011-01,141.521
2011-02,140.35
2011-03,139.981
2011-04,140.01
2011-05,139.905
2011-06,139.862
2011-07,139.73
2011-08,139.309
2011-09,138.668
2011-10,137.952
2011-11,137.152
2011-12,136.674
2012-01,136.607
2012-02,136.533
2012-03,137.904
2012-04,139.154
2012-05,140.155
2012-06,141.029
2012-07,141.669
2012-08,142.279
2012-09,142.908
2012-10,143.6
2012-11,144.585
2012-12,145.503
2013-01,146.827
2013-02,147.785
2013-03,149.963
2013-04,151.519
2013-05,152.85
2013-06,154.199
2013-07,155.604
2013-08,156.965
2013-09,158.227
2013-10,159.242
2013-11,160.074
2013-12,160.994
2014-01,161.927
2014-02,162.526
2014-03,163.086
2014-04,163.393
2014-05,163.66
2014-06,164.062
2014-07,164.577
2014-08,165.215
2014-09,165.905
2014-10,166.642
2014-11,167.335
2014-12,168.05
2015-01,168.634
2015-02,169.13
2015-03,169.8
2015-04,170.298
2015-05,170.881
2015-06,171.469
2015-07,172.13
2015-08,172.937
2015-09,173.828
2015-10,174.792
2015-11,175.739
2015-12,176.543
2016-01,177.274
2016-02,177.649
2016-03,178.164
2016-04,178.767
2016-05,179.43
2016-06,180.082
2016-07,180.832
2016-08,181.852
2016-09,182.824
2016-10,183.751
2016-11,184.759
2016-12,185.722
2017-01,186.805
2017-02,187.315
2017-03,187.993
2017-04,188.725
2017-05,189.617
2017-06,190.51
2017-07,191.452
2017-08,192.665
2017-09,193.759
2017-10,194.804
2017-11,195.955
2017-12,197.172
2018-01,198.315
2018-02,199.232
2018-03,199.966
2018-04,200.658
2018-05,201.425
2018-06,202.233
2018-07,202.913
2018-08,203.689
2018-09,204.349
2018-10,205.112
2018-11,205.669
2018-12,206.156
2019-01,206.539
2019-02,206.862
2019-03,207.066
2019-04,207.513
2019-05,208.136
2019-06,208.649
2019-07,209.287
2019-08,210.093
2019-09,210.904
2019-10,211.791
2019-11,212.787
2019-12,213.933
2020-01,214.994
2020-02,215.864
2020-03,216.402
2020-04,216.812
2020-05,216.98
2020-06,217.616
2020-07,219.378
2020-08,222.391
2020-09,225.837
2020-10,229.753
2020-11,233.208
2020-12,236.486
2021-01,239.56
2021-02,242.369
2021-03,245.465
2021-04,249.07
2021-05,253.407
2021-06,258.358
2021-07,262.82
2021-08,266.845
2021-09,270.377
2021-10,273.725
2021-11,277.21
2021-12,281.342
