DATE,USCONS
01-01-2003,6704
01-02-2003,6667
01-03-2003,6654
01-04-2003,6689
01-05-2003,6706
01-06-2003,6723
01-07-2003,6735
01-08-2003,6760
01-09-2003,6783
01-10-2003,6784
01-11-2003,6796
01-12-2003,6827
01-01-2004,6848
01-02-2004,6838
01-03-2004,6887
01-04-2004,6901
01-05-2004,6948
01-06-2004,6962
01-07-2004,6977
01-08-2004,7003
01-09-2004,7029
01-10-2004,7077
01-11-2004,7091
01-12-2004,7117
01-01-2005,7095
01-02-2005,7153
01-03-2005,7181
01-04-2005,7266
01-05-2005,7294
01-06-2005,7333
01-07-2005,7353
01-08-2005,7394
01-09-2005,7415
01-10-2005,7460
01-11-2005,7524
01-12-2005,7533
01-01-2006,7601
01-02-2006,7664
01-03-2006,7689
01-04-2006,7726
01-05-2006,7713
01-06-2006,7699
01-07-2006,7712
01-08-2006,7720
01-09-2006,7718
01-10-2006,7682
01-11-2006,7666
01-12-2006,7685
01-01-2007,7725
01-02-2007,7626
01-03-2007,7706
01-04-2007,7686
01-05-2007,7673
01-06-2007,7687
01-07-2007,7660
01-08-2007,7610
01-09-2007,7577
01-10-2007,7565
01-11-2007,7523
01-12-2007,7490
01-01-2008,7476
01-02-2008,7453
01-03-2008,7406
01-04-2008,7327
01-05-2008,7274
01-06-2008,7213
01-07-2008,7160
01-08-2008,7114
01-09-2008,7044
01-10-2008,6967
01-11-2008,6813
01-12-2008,6701
01-01-2009,6567
01-02-2009,6446
01-03-2009,6291
01-04-2009,6154
01-05-2009,6100
01-06-2009,6010
01-07-2009,5932
01-08-2009,5855
01-09-2009,5787
01-10-2009,5716
01-11-2009,5696
01-12-2009,5654
01-01-2010,5580
01-02-2010,5500
01-03-2010,5537
01-04-2010,5553
01-05-2010,5520
01-06-2010,5516
01-07-2010,5508
01-08-2010,5524
01-09-2010,5501
01-10-2010,5508
01-11-2010,5506
01-12-2010,5467
01-01-2011,5427
01-02-2011,5451
01-03-2011,5477
01-04-2011,5485
01-05-2011,5516
01-06-2011,5528
01-07-2011,5547
01-08-2011,5552
01-09-2011,5584
01-10-2011,5588
01-11-2011,5593
01-12-2011,5611
01-01-2012,5626
01-02-2012,5629
01-03-2012,5625
01-04-2012,5618
01-05-2012,5604
01-06-2012,5621
01-07-2012,5632
01-08-2012,5648
01-09-2012,5661
01-10-2012,5674
01-11-2012,5684
01-12-2012,5724
01-01-2013,5746
01-02-2013,5784
01-03-2013,5802
01-04-2013,5796
01-05-2013,5829
01-06-2013,5855
01-07-2013,5859
01-08-2013,5878
01-09-2013,5910
01-10-2013,5931
01-11-2013,5963
01-12-2013,5932
01-01-2014,5985
01-02-2014,6007
01-03-2014,6038
01-04-2014,6084
01-05-2014,6109
01-06-2014,6133
01-07-2014,6178
01-08-2014,6210
01-09-2014,6242
01-10-2014,6259
01-11-2014,6272
01-12-2014,6293
01-01-2015,6320
01-02-2015,6361
01-03-2015,6334
01-04-2015,6392
01-05-2015,6427
01-06-2015,6441
01-07-2015,6472
01-08-2015,6490
01-09-2015,6508
01-10-2015,6547
01-11-2015,6598
01-12-2015,6630
01-01-2016,6631
01-02-2016,6640
01-03-2016,6678
01-04-2016,6702
01-05-2016,6689
01-06-2016,6701
01-07-2016,6735
01-08-2016,6736
01-09-2016,6768
01-10-2016,6799
01-11-2016,6823
01-12-2016,6818
01-01-2017,6840
01-02-2017,6881
01-03-2017,6902
01-04-2017,6916
01-05-2017,6931
01-06-2017,6962
01-07-2017,6968
01-08-2017,7002
01-09-2017,7013
01-10-2017,7031
01-11-2017,7068
01-12-2017,7091
01-01-2018,7093
01-02-2018,7184
01-03-2018,7194
01-04-2018,7212
01-05-2018,7274
01-06-2018,7292
01-07-2018,7318
01-08-2018,7347
01-09-2018,7375
01-10-2018,7389
01-11-2018,7386
01-12-2018,7396
01-01-2019,7424
01-02-2019,7396
01-03-2019,7422
01-04-2019,7459
01-05-2019,7486
01-06-2019,7511
01-07-2019,7525
01-08-2019,7530
01-09-2019,7551
01-10-2019,7556
01-11-2019,7545
01-12-2019,7528
01-01-2020,7580
01-02-2020,7608
01-03-2020,7539
01-04-2020,6527
01-05-2020,7009
01-06-2020,7170
01-07-2020,7195
01-08-2020,7225
01-09-2020,7256
01-10-2020,7310
01-11-2020,7317
01-12-2020,7355
01-01-2021,7363
01-02-2021,7291
01-03-2021,7395
01-04-2021,7406
01-05-2021,7394
01-06-2021,7400
01-07-2021,7415
01-08-2021,7431
01-09-2021,7472
01-10-2021,7514
01-11-2021,7560
01-12-2021,7594
01-01-2022,7590
01-02-2022,7669
01-03-2022,7692
01-04-2022,7698
01-05-2022,7736
01-06-2022,7749
01-07-2022,7773
01-08-2022,7781
01-09-2022,7797
01-10-2022,7814
01-11-2022,7833
01-12-2022,7859
01-01-2023,7885
01-02-2023,7899
01-03-2023,7890
01-04-2023,7901
01-05-2023,7926
01-06-2023,7955
01-07-2023,7967
01-08-2023,7997
01-09-2023,8010
01-10-2023,8033
