DATE,B230RC0Q173SBEA
01-01-2003,289609
01-04-2003,290253
01-07-2003,290974
01-10-2003,291669
01-01-2004,292237
01-04-2004,292875
01-07-2004,293603
01-10-2004,294334
01-01-2005,294957
01-04-2005,295588
01-07-2005,296340
01-10-2005,297086
01-01-2006,297736
01-04-2006,298408
01-07-2006,299180
01-10-2006,299946
01-01-2007,300609
01-04-2007,301284
01-07-2007,302062
01-10-2007,302829
01-01-2008,303494
01-04-2008,304160
01-07-2008,304902
01-10-2008,305616
01-01-2009,306237
01-04-2009,306866
01-07-2009,307573
01-10-2009,308285
01-01-2010,308901
01-04-2010,309488
01-07-2010,310148
01-10-2010,310817
01-01-2011,311376
01-04-2011,311940
01-07-2011,312606
01-10-2011,313258
01-01-2012,313813
01-04-2012,314373
01-07-2012,315030
01-10-2012,315685
01-01-2013,316196
01-04-2013,316733
01-07-2013,317396
01-10-2013,318072
01-01-2014,318645
01-04-2014,319228
01-07-2014,319919
01-10-2014,320611
01-01-2015,321168
01-04-2015,321744
01-07-2015,322428
01-10-2015,323110
01-01-2016,323689
01-04-2016,324265
01-07-2016,324926
01-10-2016,325557
01-01-2017,326053
01-04-2017,326554
01-07-2017,327140
01-10-2017,327692
01-01-2018,328091
01-04-2018,328526
01-07-2018,329040
01-10-2018,329522
01-01-2019,329868
01-04-2019,330245
01-07-2019,330729
01-10-2019,331208
01-01-2020,331534
01-04-2020,331699
01-07-2020,331872
01-10-2020,332045
01-01-2021,331989
01-04-2021,332149
01-07-2021,332480
01-10-2021,332786
01-01-2022,332978
01-04-2022,333321
01-07-2022,333799
01-10-2022,334282
01-01-2023,334641
01-04-2023,335019
01-07-2023,335501
