DATE,LNU04032231
01-01-2003,14
01-02-2003,14
01-03-2003,11.8
01-04-2003,9.3
01-05-2003,8.4
01-06-2003,7.9
01-07-2003,7.5
01-08-2003,7.1
01-09-2003,7.6
01-10-2003,7.4
01-11-2003,7.8
01-12-2003,9.3
01-01-2004,11.3
01-02-2004,11.6
01-03-2004,11.3
01-04-2004,9.5
01-05-2004,7.4
01-06-2004,7
01-07-2004,6.4
01-08-2004,6
01-09-2004,6.8
01-10-2004,6.9
01-11-2004,7.4
01-12-2004,9.5
01-01-2005,11.8
01-02-2005,12.3
01-03-2005,10.3
01-04-2005,7.4
01-05-2005,6.1
01-06-2005,5.7
01-07-2005,5.2
01-08-2005,5.7
01-09-2005,5.7
01-10-2005,5.3
01-11-2005,5.7
01-12-2005,8.2
01-01-2006,9
01-02-2006,8.6
01-03-2006,8.5
01-04-2006,6.9
01-05-2006,6.6
01-06-2006,5.6
01-07-2006,6.1
01-08-2006,5.9
01-09-2006,5.6
01-10-2006,4.5
01-11-2006,6
01-12-2006,6.9
01-01-2007,8.9
01-02-2007,10.5
01-03-2007,9
01-04-2007,8.6
01-05-2007,6.9
01-06-2007,5.9
01-07-2007,5.9
01-08-2007,5.3
01-09-2007,5.8
01-10-2007,6.1
01-11-2007,6.2
01-12-2007,9.4
01-01-2008,11
01-02-2008,11.4
01-03-2008,12
01-04-2008,11.1
01-05-2008,8.6
01-06-2008,8.2
01-07-2008,8
01-08-2008,8.2
01-09-2008,9.9
01-10-2008,10.8
01-11-2008,12.7
01-12-2008,15.3
01-01-2009,18.2
01-02-2009,21.4
01-03-2009,21.1
01-04-2009,18.7
01-05-2009,19.2
01-06-2009,17.4
01-07-2009,18.2
01-08-2009,16.5
01-09-2009,17.1
01-10-2009,18.7
01-11-2009,19.4
01-12-2009,22.7
01-01-2010,24.7
01-02-2010,27.1
01-03-2010,24.9
01-04-2010,21.8
01-05-2010,20.1
01-06-2010,20.1
01-07-2010,17.3
01-08-2010,17
01-09-2010,17.2
01-10-2010,17.3
01-11-2010,18.8
01-12-2010,20.7
01-01-2011,22.5
01-02-2011,21.8
01-03-2011,20
01-04-2011,17.8
01-05-2011,16.3
01-06-2011,15.6
01-07-2011,13.6
01-08-2011,13.5
01-09-2011,13.3
01-10-2011,13.7
01-11-2011,13.1
01-12-2011,16
01-01-2012,17.7
01-02-2012,17.1
01-03-2012,17.2
01-04-2012,14.5
01-05-2012,14.2
01-06-2012,12.8
01-07-2012,12.3
01-08-2012,11.3
01-09-2012,11.9
01-10-2012,11.4
01-11-2012,12.2
01-12-2012,13.5
01-01-2013,16.1
01-02-2013,15.7
01-03-2013,14.7
01-04-2013,13.2
01-05-2013,10.8
01-06-2013,9.8
01-07-2013,9.1
01-08-2013,9.1
01-09-2013,8.5
01-10-2013,9
01-11-2013,8.6
01-12-2013,11.4
01-01-2014,12.3
01-02-2014,12.8
01-03-2014,11.3
01-04-2014,9.4
01-05-2014,8.6
01-06-2014,8.2
01-07-2014,7.5
01-08-2014,7.7
01-09-2014,7
01-10-2014,6.4
01-11-2014,7.5
01-12-2014,8.3
01-01-2015,9.8
01-02-2015,10.6
01-03-2015,9.5
01-04-2015,7.5
01-05-2015,6.7
01-06-2015,6.3
01-07-2015,5.5
01-08-2015,6.1
01-09-2015,5.5
01-10-2015,6.2
01-11-2015,6.2
01-12-2015,7.5
01-01-2016,8.5
01-02-2016,8.7
01-03-2016,8.7
01-04-2016,6
01-05-2016,5.2
01-06-2016,4.6
01-07-2016,4.5
01-08-2016,5.1
01-09-2016,5.2
01-10-2016,5.7
01-11-2016,5.7
01-12-2016,7.4
01-01-2017,9.4
01-02-2017,8.8
01-03-2017,8.4
01-04-2017,6.3
01-05-2017,5.3
01-06-2017,4.5
01-07-2017,4.9
01-08-2017,4.7
01-09-2017,4.7
01-10-2017,4.5
01-11-2017,5
01-12-2017,5.9
01-01-2018,7.3
01-02-2018,7.8
01-03-2018,7.4
01-04-2018,6.5
01-05-2018,4.4
01-06-2018,4.7
01-07-2018,3.4
01-08-2018,3.4
01-09-2018,4.1
01-10-2018,3.6
01-11-2018,3.9
01-12-2018,5.1
01-01-2019,6.4
01-02-2019,6.2
01-03-2019,5.2
01-04-2019,4.7
01-05-2019,3.2
01-06-2019,4
01-07-2019,3.8
01-08-2019,3.6
01-09-2019,3.2
01-10-2019,4
01-11-2019,4.4
01-12-2019,5
01-01-2020,5.4
01-02-2020,5.5
01-03-2020,6.9
01-04-2020,16.6
01-05-2020,12.7
01-06-2020,10.1
01-07-2020,8.9
01-08-2020,7.6
01-09-2020,7.1
01-10-2020,6.8
01-11-2020,7.3
01-12-2020,9.6
01-01-2021,9.4
01-02-2021,9.6
01-03-2021,8.6
01-04-2021,7.7
01-05-2021,6.7
01-06-2021,7.5
01-07-2021,6.1
01-08-2021,4.6
01-09-2021,4.5
01-10-2021,4
01-11-2021,4.7
01-12-2021,5
01-01-2022,7.1
01-02-2022,6.7
01-03-2022,6
01-04-2022,4.6
01-05-2022,3.8
01-06-2022,3.7
01-07-2022,3.5
01-08-2022,3.9
01-09-2022,3.4
01-10-2022,4.1
01-11-2022,3.9
01-12-2022,4.4
01-01-2023,6.9
01-02-2023,6.6
01-03-2023,5.6
01-04-2023,4.1
01-05-2023,3.5
01-06-2023,3.6
01-07-2023,3.9
01-08-2023,3.9
01-09-2023,3.8
01-10-2023,4
