DATE,YEAR
01-01-1984,13461
01-01-1985,13763
01-01-1986,14142
01-01-1987,14368
01-01-1988,16373
01-01-1989,16577
01-01-1990,16525
01-01-1991,16745
01-01-1992,17258
01-01-1993,17468
01-01-1994,18417
01-01-1995,18425
01-01-1996,18384
01-01-1997,18450
01-01-1998,19436
01-01-1999,21704
01-01-2000,22543
01-01-2001,23526
01-01-2002,24229
01-01-2003,22396
01-01-2004,24535
01-01-2005,27776
01-01-2006,28181
01-01-2007,29457
01-01-2008,29325
01-01-2009,28119
01-01-2010,27483
01-01-2011,29912
01-01-2012,31411
01-01-2013,30373
01-01-2014,32179
01-01-2015,32797
01-01-2016,34438
01-01-2017,33629
01-01-2018,32039
01-01-2019,39293
01-01-2020,38075
01-01-2021,42063
01-01-2022,46359
