DATE,PCU327331327331
01-01-2003,164.5
01-02-2003,164.9
01-03-2003,165.7
01-04-2003,167
01-05-2003,167
01-06-2003,167.8
01-07-2003,167.9
01-08-2003,167.9
01-09-2003,168
01-10-2003,168
01-11-2003,169.4
01-12-2003,169.7
01-01-2004,169.9
01-02-2004,168.7
01-03-2004,170.1
01-04-2004,171.6
01-05-2004,172.5
01-06-2004,172.6
01-07-2004,172.7
01-08-2004,175.1
01-09-2004,176.1
01-10-2004,177
01-11-2004,177.2
01-12-2004,177.3
01-01-2005,181.1
01-02-2005,183.5
01-03-2005,184.6
01-04-2005,185.7
01-05-2005,185.6
01-06-2005,186.4
01-07-2005,187.4
01-08-2005,187.8
01-09-2005,188.4
01-10-2005,189.2
01-11-2005,189.3
01-12-2005,189.9
01-01-2006,194.8
01-02-2006,196.9
01-03-2006,197.5
01-04-2006,199.1
01-05-2006,199.1
01-06-2006,199.2
01-07-2006,202.4
01-08-2006,202.1
01-09-2006,202
01-10-2006,201.9
01-11-2006,201.9
01-12-2006,202.7
01-01-2007,205.7
01-02-2007,206.6
01-03-2007,207.1
01-04-2007,208.3
01-05-2007,209.1
01-06-2007,209.3
01-07-2007,209.5
01-08-2007,209.5
01-09-2007,209.6
01-10-2007,209.6
01-11-2007,209.6
01-12-2007,209.7
01-01-2008,210.2
01-02-2008,210.7
01-03-2008,211.9
01-04-2008,212.1
01-05-2008,212.4
01-06-2008,212.8
01-07-2008,214
01-08-2008,214.2
01-09-2008,215.5
01-10-2008,216.3
01-11-2008,216.7
01-12-2008,217.2
01-01-2009,217.8
01-02-2009,217.6
01-03-2009,217.7
01-04-2009,218.1
01-05-2009,217.6
01-06-2009,217.7
01-07-2009,217.6
01-08-2009,217.6
01-09-2009,217.5
01-10-2009,217.4
01-11-2009,217.4
01-12-2009,217.4
01-01-2010,217.2
01-02-2010,217.4
01-03-2010,216.1
01-04-2010,215.9
01-05-2010,215.9
01-06-2010,215.8
01-07-2010,215.5
01-08-2010,215.7
01-09-2010,215.9
01-10-2010,215.2
01-11-2010,215.3
01-12-2010,215.3
01-01-2011,215.3
01-02-2011,215.7
01-03-2011,216.5
01-04-2011,216
01-05-2011,216.5
01-06-2011,216.6
01-07-2011,216.6
01-08-2011,216.7
01-09-2011,216.8
01-10-2011,217.5
01-11-2011,216.8
01-12-2011,216.7
01-01-2012,217.9
01-02-2012,217.9
01-03-2012,217.9
01-04-2012,218.2
01-05-2012,218.3
01-06-2012,218.1
01-07-2012,218.2
01-08-2012,218.3
01-09-2012,218.3
01-10-2012,218.6
01-11-2012,218.3
01-12-2012,218.9
01-01-2013,219.3
01-02-2013,219.2
01-03-2013,219.6
01-04-2013,222.7
01-05-2013,222.9
01-06-2013,222.7
01-07-2013,222.8
01-08-2013,222.6
01-09-2013,222.6
01-10-2013,222.5
01-11-2013,222.6
01-12-2013,222.8
01-01-2014,226
01-02-2014,226.3
01-03-2014,226.2
01-04-2014,227.5
01-05-2014,227.7
01-06-2014,227.9
01-07-2014,228.6
01-08-2014,228.4
01-09-2014,228.4
01-10-2014,228.5
01-11-2014,228.4
01-12-2014,229.8
01-01-2015,231.6
01-02-2015,232.5
01-03-2015,233.4
01-04-2015,232.4
01-05-2015,232.5
01-06-2015,232.7
01-07-2015,232.7
01-08-2015,233
01-09-2015,233.6
01-10-2015,233.6
01-11-2015,233.4
01-12-2015,233.4
01-01-2016,235.1
01-02-2016,236.1
01-03-2016,236.8
01-04-2016,237.5
01-05-2016,237.6
01-06-2016,237.6
01-07-2016,237.5
01-08-2016,237.3
01-09-2016,237.9
01-10-2016,238.4
01-11-2016,238
01-12-2016,238.1
01-01-2017,238.8
01-02-2017,239.2
01-03-2017,240.4
01-04-2017,242.5
01-05-2017,242.7
01-06-2017,243.1
01-07-2017,243.6
01-08-2017,244.3
01-09-2017,245.2
01-10-2017,245.5
01-11-2017,245.3
01-12-2017,245.3
01-01-2018,244.1
01-02-2018,245
01-03-2018,247
01-04-2018,248.5
01-05-2018,249.3
01-06-2018,249.6
01-07-2018,250.5
01-08-2018,250.5
01-09-2018,250.3
01-10-2018,250.4
01-11-2018,251
01-12-2018,251.7
01-01-2019,252.5
01-02-2019,253.2
01-03-2019,253.7
01-04-2019,255.9
01-05-2019,257.4
01-06-2019,257.3
01-07-2019,257.5
01-08-2019,257.6
01-09-2019,259
01-10-2019,259.3
01-11-2019,259.2
01-12-2019,259.4
01-01-2020,259.4
01-02-2020,260.2
01-03-2020,260.7
01-04-2020,262.3
01-05-2020,263.6
01-06-2020,263.9
01-07-2020,265.4
01-08-2020,265.8
01-09-2020,266.1
01-10-2020,266
01-11-2020,265.8
01-12-2020,266.2
01-01-2021,268
01-02-2021,269.6
01-03-2021,271.4
01-04-2021,273.8
01-05-2021,274.6
01-06-2021,275.3
01-07-2021,277.011
01-08-2021,278.375
01-09-2021,278.35
01-10-2021,278.738
01-11-2021,280.875
01-12-2021,280.545
01-01-2022,288.849
01-02-2022,294.067
01-03-2022,308.73
01-04-2022,313.103
01-05-2022,313.562
01-06-2022,315.265
01-07-2022,320.468
01-08-2022,321.558
01-09-2022,325.667
01-10-2022,326.342
01-11-2022,326.537
01-12-2022,327.078
01-01-2023,344.185
01-02-2023,345.329
01-03-2023,346.714
01-04-2023,349.973
01-05-2023,350.169
01-06-2023,350.374
01-07-2023,350.762
01-08-2023,352.436
01-09-2023,351.32
01-10-2023,355.936
